A,B,label
Quadratic formula,Addition,1
Mathematics,Line (geometry),0
Equation,Equation solving,0
Rational root theorem,Multiplication,1
Orientation (geometry),Geometry,1
Binomial theorem,Real number,0
Binomial theorem,Binomial coefficient,0
Polar coordinate system,Plane (geometry),1
Mathematics,Pythagorean theorem,0
Spherical law of cosines,Polygon,0
Transformation (function),Set (mathematics),0
Function (mathematics),Binary logarithm,0
Algebraic expression,Integer,1
Arithmetic,Cross product,0
Geometry,Slope,0
Symmetry,Even and odd functions,0
Parametric equation,Number,1
Geometric series,Pythagorean theorem,0
Base (exponentiation),Logarithm,0
Square root,Rational number,0
Exponential growth,Natural logarithm,0
Plane (geometry),Cartesian coordinate system,0
Distance,Analytic geometry,0
Complex number,Inequality (mathematics),0
Exponential function,Graph of a function,0
Geometry,Triangle,0
Line (geometry),Geometry,1
Number,Partial fraction decomposition,0
Trigonometric functions,Pythagorean trigonometric identity,0
Polynomial,Interval (mathematics),0
Circle,Quadratic function,0
Product (mathematics),Number,1
Complex number,Cartesian coordinate system,0
Partial fraction decomposition,Division (mathematics),1
Mathematics,Polynomial,0
Real number,Multiplicative inverse,0
Rational root theorem,Mathematics,1
Mathematics,Factorization,0
Hyperbola,Geometry,0
Integer,Equation solving,0
Mathematics,Origin (mathematics),0
Elementary matrix,Matrix (mathematics),1
Curve,Chord (geometry),0
Conic section,Eccentricity (mathematics),0
Equation,Mathematics,1
Minor (linear algebra),Inverse function,0
Synthetic division,Division (mathematics),1
Vector field,Matrix multiplication,0
Polynomial,Complex number,0
Equation,Rational number,0
Quadratic equation,Polynomial long division,0
Identity matrix,Matrix (mathematics),1
Arithmetic,Multiplicative inverse,0
Degree of a polynomial,Multiplication,1
Arithmetic,Sum,0
Trigonometric functions,Spherical law of cosines,0
Addition,Nth root,0
Number,Imaginary number,0
Binomial coefficient,Real number,0
Addition,Parity (mathematics),0
Polynomial,Arithmetic,1
Multiplication,Exponentiation,0
Integer,Number,1
Matrix (mathematics),Invertible matrix,0
Function (mathematics),Empty set,0
Mathematics,Matrix ring,0
Law of sines,Geometry,1
Subtraction,Mathematics,1
Open set,Closed set,0
Inverse trigonometric functions,Inverse function,1
Calculus,Geometric series,0
Binomial,Factorization,0
Quadratic equation,Equation solving,0
Logarithm,Exponential growth,0
Force,Vector field,0
Arithmetic,Degree of a polynomial,0
Quadratic function,Empty set,0
Binary logarithm,Logarithm,1
Real number,Mathematical proof,0
Range (statistics),Inverse trigonometric functions,0
Mathematics,Triangular matrix,0
Line segment,Radius,0
Exponential function,Addition,0
Inverse trigonometric functions,Mathematics,1
Mathematics,Injective function,0
Line (geometry),Line segment,0
Line segment,Line (geometry),1
Binomial theorem,Arithmetic,1
Line (geometry),Complex number,0
Mathematics,Linear function,0
Inverse trigonometric functions,Sine,1
Degree of a polynomial,Mathematics,1
Number,Fundamental theorem of algebra,0
Solution of triangles,Polygon,1
Plane curve,Line (geometry),1
Differential equation,Mathematics,1
Conic section,Circle,1
Quadratic formula,Mathematics,1
Calculus,Fundamental theorem of algebra,0
Factorization,Multiplication,1
Main diagonal,Matrix (mathematics),1
Complex number,Graph of a function,0
Parallel (geometry),Geometry,1
Geometry,Analytic geometry,0
Equation,Algebraic expression,0
Linear equation,Analytic geometry,0
Multiplication,Elementary matrix,0
Descartes' rule of signs,Polynomial long division,0
Algebra,Linear inequality,0
Algebraic equation,Mathematics,1
Mathematics,Range (statistics),0
Determinant,Transformation (function),0
Natural logarithm,Binary logarithm,0
Point (geometry),Law of sines,0
Geometry,Circle,0
Partial fraction decomposition,Factorization,1
Unit circle,Mathematics,1
Multiplication,Natural number,0
Domain of a function,Mathematics,1
Algebraic expression,Algebra,1
Polynomial long division,Arithmetic,1
Descartes' rule of signs,Number,1
Binomial coefficient,Polynomial,1
Linear inequality,Number,1
Number,Algebraic expression,0
Algebraic expression,Multiplication,1
Subtraction,Integer,0
Identity matrix,Main diagonal,1
Quadratic equation,Graph of a function,0
Homogeneous polynomial,Arithmetic,1
Point (geometry),Line–line intersection,0
Addition,Natural number,0
Rotation (mathematics),Geometry,1
Prime number,Parity (mathematics),0
Mathematics,Pythagorean trigonometric identity,0
Trigonometric functions,Mathematics,1
E (mathematical constant),Multiplicative inverse,0
Coordinate system,Cartesian coordinate system,0
Mathematics,Edge (geometry),0
Rational number,Closed set,0
Union (set theory),Associative property,0
Linear inequality,Inequality (mathematics),1
Number,Inequality (mathematics),0
Commutative property,Real number,0
Mathematics,Rational root theorem,0
Linear function,Matrix (mathematics),0
Division by zero,Mathematics,1
Secant line,Geometry,1
Scalar multiplication,Vector field,0
Quadrant (plane geometry),Geometry,1
Zero of a function,Geometry,0
Common logarithm,Arithmetic,1
Conic section,Cone,1
Right triangle,Point (geometry),1
Algebraic expression,Mathematics,1
Mathematics,Natural logarithm,0
Monotonic function,Function (mathematics),1
Set (mathematics),Function (mathematics),0
Matrix multiplication,Matrix (mathematics),1
Geometry,Law of sines,0
Linear inequality,Equality (mathematics),1
Natural number,Function (mathematics),0
Exponentiation,Mathematics,1
Mathematics,Parametric equation,0
Displacement (vector),Derivative,0
Pythagorean trigonometric identity,Sine,0
Parametric equation,Equality (mathematics),1
Plane curve,Conic section,0
Analytic geometry,Coordinate system,1
Natural number,Number,1
Binomial coefficient,Number,1
System of linear equations,Linear equation,1
Point (geometry),Polygon,0
Mathematics,Arithmetic,0
Exponentiation,Natural logarithm,0
Number,Analytic geometry,0
Transformation (function),Function (mathematics),1
Multiplication,Cross product,0
Natural number,Empty set,0
Polynomial,Graph of a function,0
Number,Polynomial,0
Rotation of axes,Mathematics,1
Equation,Integer,0
Circle,Cartesian coordinate system,0
Mathematics,Subtraction,0
Sine,Geometry,1
Unit circle,Pythagorean theorem,0
Simultaneous equations,Number,1
Equation,Cartesian coordinate system,0
Function (mathematics),Distance,0
Amplitude,Force,0
Degree (angle),Mathematics,1
Number,Real line,0
Polynomial,Descartes' rule of signs,0
Logarithm,Degree of a polynomial,0
Inverse function,Mathematics,1
Geometry,Trigonometric functions,0
Constant function,Polynomial,0
Range (statistics),Limit of a sequence,0
Force,Change of variables,0
Chord (geometry),Point (geometry),1
Homogeneous polynomial,Polynomial,1
Point (geometry),Line segment,0
Fundamental theorem of algebra,Integer,1
Perpendicular,Equation,0
Exponentiation,Function composition,0
Sine,Multiplicative inverse,0
Equation,Analytic geometry,0
Complex number,Fundamental theorem of algebra,0
Euclidean vector,Vector (mathematics and physics),1
Exponential function,Arithmetic,1
Curve,Unit circle,0
Geometry,Polygon,0
Sine wave,Geometry,1
Line (geometry),Analytic geometry,0
Equation,Fundamental theorem of algebra,0
Asymptote,Geometry,1
Rational number,Multiplicative inverse,0
Zero (complex analysis),Complex number,1
Equation,Subtraction,0
Even and odd functions,Sine,0
Rotation of axes,Conic section,0
Curve,Ellipse,0
Spherical law of cosines,Triangle,0
Set (mathematics),Natural number,0
Law of sines,Triangle,1
Cone,Curve,1
Base (exponentiation),Calculus,0
Equality (mathematics),Rational root theorem,0
Eccentricity (mathematics),Curve,1
Division (mathematics),Arithmetic,1
Geometry,Conic section,0
Mathematics,Chord (geometry),0
Binomial,Integer,1
Multiplicative inverse,Number,1
Area,Geometry,0
Mathematics,Dependent and independent variables,0
Linear function,Slope,0
Line (geometry),Cartesian coordinate system,0
Linear function,Real number,0
Simple harmonic motion,Force,1
Polynomial,Polynomial long division,0
Circular sector,Line (geometry),1
Negative number,Slope,0
Real line,Graph of a function,0
Secant line,Circle,0
Unit circle,Cartesian coordinate system,0
Exponentiation,Addition,0
Set (mathematics),Open set,0
Line (geometry),Displacement (vector),0
Base (exponentiation),Multiplication,1
Floor and ceiling functions,Function (mathematics),0
Vector field,Mathematics,0
Dot product,Mathematics,1
Mathematics,Asymptote,0
Sine wave,Line (geometry),1
Integer,Inequality (mathematics),0
Logarithm,Common logarithm,0
Real number,Fundamental theorem of algebra,0
Addition,Function (mathematics),0
Addition,Descartes' rule of signs,0
Analytic geometry,Number,1
Minor (linear algebra),Identity matrix,0
Multiplication,Mathematics,1
Geometry,Edge (geometry),0
Mathematical induction,Mathematics,1
Real number,Natural logarithm,0
Function composition,Commutative property,0
Graph of a function,Function (mathematics),1
Parity (mathematics),Mathematical proof,0
Trigonometry,Solution of triangles,0
Line segment,Point (geometry),1
Base (exponentiation),Nth root,0
Mathematics,Line–line intersection,0
Line segment,Edge (geometry),0
Mathematics,Graph of a function,0
Range (statistics),Real number,0
Chord (geometry),Line (geometry),1
Linear inequality,Equation,1
Exponentiation,Negative number,0
Vector (mathematics and physics),Scalar multiplication,0
Natural logarithm,Multiplicative inverse,0
Set (mathematics),Interval (mathematics),0
Curve,Line (geometry),1
Arithmetic,Polynomial,0
Line (geometry),Unit circle,0
Function (mathematics),Piecewise,0
System of linear equations,Line (geometry),1
Exponentiation,Polynomial,0
Sign (mathematics),Absolute value,0
Set (mathematics),Rational number,0
Floor and ceiling functions,Limit of a sequence,0
Multiplication,Complex number,0
Analytic geometry,Distance,1
Geometry,Plane (geometry),0
Zero of a function,Real number,0
Geometry,Vertical line test,0
Injective function,Mathematics,1
Linear function,Perpendicular,0
Line (geometry),Eccentricity (mathematics),0
Line (geometry),Asymptote,0
Conic section,Geometry,1
Mathematics,Matrix multiplication,0
Multiplication,Inequality (mathematics),0
Extended real number line,Mathematics,1
Unit circle,Pythagorean trigonometric identity,0
Algebra,Inequality (mathematics),0
Mathematics,Triangle,0
Right triangle,Right angle,1
Multiplication,Identity matrix,0
Integer,Fundamental theorem of algebra,0
Algebraic equation,Equality (mathematics),1
Line (geometry),Equation solving,0
Amplitude,Periodic function,0
Law of sines,Pythagorean theorem,0
Degree (angle),Angle,1
Geometry,Angle,0
Parity (mathematics),Division (mathematics),0
Coordinate system,Quadrant (plane geometry),0
Identity (mathematics),Equality (mathematics),1
Conic section,Line (geometry),1
Quadratic equation,Real number,0
Analytic geometry,Mathematics,1
Integer,Sine,0
Multiplication,Algebraic expression,0
Series (mathematics),Mathematics,1
Linear function,Degree of a polynomial,0
Arithmetic,Binomial coefficient,0
Line segment,Geometry,1
Natural number,Division (mathematics),0
Linear equation,Equation solving,0
Triangle,Law of sines,0
Mathematics,Orientation (geometry),0
Pythagorean theorem,Distance,0
Semi-major axis,Simple harmonic motion,0
Base (exponentiation),Natural logarithm,0
Arithmetic,Exponential growth,0
Derivative,Vector (mathematics and physics),0
Sine,Graph of a function,0
Number,Simultaneous equations,0
Slope,Geometry,1
Mathematics,Image (mathematics),0
Angle,Cartesian coordinate system,0
Sine wave,Curve,1
Matrix multiplication,Multiplication,1
Pythagorean theorem,Function (mathematics),0
Addition,Even and odd functions,0
Mathematics,Quadratic formula,0
Vector space,Vector (mathematics and physics),1
Degree of a polynomial,Number,1
Limit (mathematics),Parity (mathematics),0
Equation,Division (mathematics),0
Complex number,Sine,0
Algebraic expression,Number,1
Unit circle,Real number,0
Partial fraction decomposition,Quadratic equation,0
Associative property,Subtraction,0
Mathematics,Inverse function,0
Quadrant (plane geometry),Coordinate system,1
Mathematics,Domain of a function,0
Graph of a function,Cartesian coordinate system,0
Triangle,Right triangle,0
Quadratic function,Mathematics,1
Limit of a function,Limit (mathematics),1
Equality (mathematics),Simultaneous equations,0
Line (geometry),Linear equation,0
Chord (geometry),Mathematics,1
Quadratic formula,Equality (mathematics),1
Binary logarithm,Function (mathematics),1
Real number,Common logarithm,0
Partial fraction decomposition,Monomial,0
Mathematics,Coordinate system,0
Binomial,Multiplication,1
Empty set,Closed set,0
Function (mathematics),Rational function,0
Algebraic equation,Equation,1
Fundamental theorem of algebra,Arithmetic,1
Graph (mathematics),Geometry,0
Geometry,Cone,0
Square matrix,Minor (linear algebra),0
Equality (mathematics),Quadratic formula,0
Linear equation,Slope,0
Matrix multiplication,Mathematics,1
Matrix multiplication,Elementary matrix,0
Mathematics,Trigonometric tables,0
Line (geometry),Sine wave,0
Synthetic division,Multiplication,1
Pythagorean theorem,Sine,0
Complex number,Factorization,0
Circle,Mathematics,1
Polynomial,Quadratic equation,0
Trigonometric functions,Identity (mathematics),0
Mathematical proof,Mathematics,1
Logarithm,Equation solving,0
Mathematics,Circular sector,0
Line (geometry),Edge (geometry),0
Mathematics,Multiplication,0
Parity (mathematics),Limit of a sequence,0
Exponential function,E (mathematical constant),0
Commutative property,Algebraic expression,0
Triangle,Polygon,1
Geometry,Quadrant (plane geometry),0
Real number,Complex number,0
Complex number,Real number,1
Edge (geometry),Mathematics,1
Arithmetic,Division by zero,0
Square matrix,Main diagonal,0
Number,Exponential function,0
Simultaneous equations,Mathematics,1
Even and odd functions,Real number,0
Binomial coefficient,Binomial,1
Calculus,Linear inequality,0
Range (statistics),Function (mathematics),1
Line (geometry),Chord (geometry),0
Interval (mathematics),Integer,0
Geometric series,Area,0
Mathematics,Periodic function,0
Matrix (mathematics),Minor (linear algebra),0
Line (geometry),Cylinder (geometry),0
Multiplication,Integer,0
Circle,Equation,0
Equation solving,Mathematics,1
Complex number,Inverse trigonometric functions,0
Line segment,Semi-major axis,0
Inverse function,Inverse trigonometric functions,0
Inequality (mathematics),Multiplicative inverse,0
Line (geometry),Real number,0
Common logarithm,Exponentiation,1
Edge (geometry),Geometry,1
Multiplication,Logarithm,0
Mathematics,Exponential growth,0
Semi-major axis,Displacement (vector),0
Monomial,Binomial,0
Scientific notation,Division (mathematics),0
Number,Zero (complex analysis),0
Polynomial,Equation solving,0
Associative property,Division (mathematics),0
Logarithm,Multiplicative inverse,0
Union (set theory),Distributive property,0
Union (set theory),Commutative property,0
Natural number,Subtraction,0
Quadratic formula,Integer,1
Angle,Triangle,0
Function (mathematics),Quadratic function,0
Complex conjugate,Number,1
Exponential growth,Multiplication,1
Calculus,Mathematics,1
Number,Matrix ring,0
Function (mathematics),Vertical line test,0
Complex conjugate,Real number,1
Plane (geometry),Mathematics,1
Product topology,Number,1
Mathematics,Cylinder (geometry),0
Line segment,Semi-minor axis,0
Angle,Geometry,1
Unit circle,Circle,1
Main diagonal,Identity matrix,0
Mathematics,System of linear equations,0
Mathematics,Law of sines,0
Descartes' rule of signs,Arithmetic,1
Logarithm,Real number,0
Semi-major axis,Semi-minor axis,0
Radius,Mathematics,1
Geometry,Curve,0
Real line,Distance,0
Geometry,Degree (angle),0
Set-builder notation,Set (mathematics),1
Geometry,Secant line,0
Angle,Rectangle,0
Number,Real number,0
Piecewise,Mathematics,1
Integer,Synthetic division,0
Range (statistics),Complex number,0
Image (mathematics),Mathematics,1
Mathematics,Parallel (geometry),0
Arithmetic,Parity (mathematics),0
Spherical law of cosines,Pythagorean theorem,0
Addition,Binomial coefficient,0
Law of sines,Trigonometric functions,0
Real number,Extended real number line,0
Geometry,Sine wave,0
Triangle,Angle,1
Circular sector,Area,0
Rational number,Number,1
Mathematics,Function (mathematics),0
Parity (mathematics),Number,0
Mathematics,Circular motion,0
Algebraic expression,Division (mathematics),0
Curve,Circular sector,0
Floor and ceiling functions,Periodic function,0
Descartes' rule of signs,Polynomial,1
Exponentiation,Integer,0
Geometry,Cartesian coordinate system,0
Number,Multiplicative inverse,0
Simple harmonic motion,Sine wave,0
Trigonometry,Spherical law of cosines,0
Arithmetic,Synthetic division,0
Real line,Line (geometry),1
Mathematics,Linear equation,0
Addition,Quadratic formula,0
Calculus,Limit (mathematics),0
Square root,Natural number,0
Mathematics,Right triangle,0
Logistic function,Natural logarithm,0
Negative number,Inequality (mathematics),0
Polar coordinate system,Mathematics,1
Complex plane,Geometry,1
Number,Square (algebra),0
Elementary matrix,Identity matrix,1
Synthetic division,Addition,1
Multiplication,Quadratic formula,0
Dependent and independent variables,Derivative,0
Product topology,Mathematics,1
Mathematics,Sum,0
Integer,Polynomial,0
Number,Synthetic division,0
Pythagorean trigonometric identity,Trigonometric functions,1
Equation,Rational root theorem,0
Mathematics,Limit of a sequence,0
Arithmetic,Matrix multiplication,0
Quadratic equation,Analytic geometry,0
Continuous function,Function (mathematics),1
Integer,Real number,0
Matrix (mathematics),Identity matrix,0
Right triangle,Line segment,1
Exponential function,Complex number,0
Multiplication,Polynomial long division,0
Number,Polynomial long division,0
Equation,Change of variables,0
Addition,Distributive property,0
Scientific notation,Subtraction,0
Dot product,Product (mathematics),1
Vector (mathematics and physics),Vector field,0
Mathematics,Dot product,0
Mathematics,Partial fraction decomposition,0
Perpendicular,Pythagorean theorem,0
Interval (mathematics),Mathematics,1
Division (mathematics),Elementary matrix,0
Polynomial,Monomial,0
Cone,Conic section,0
Real line,Real number,1
Fundamental theorem of algebra,Matrix (mathematics),0
Polynomial,E (mathematical constant),0
Commutative property,Division (mathematics),0
Polynomial,Binomial coefficient,0
Partial fraction decomposition,Real number,0
Geometry,Parallel (geometry),0
Degree (angle),Circular sector,0
Rational root theorem,Addition,1
Mathematics,Zero of a function,0
Law of sines,Line (geometry),1
Slope,Line (geometry),1
Function composition,Mathematics,1
Real number,Cartesian coordinate system,0
Curve,Asymptote,0
Number,Square root,0
Polynomial,Subtraction,0
Trigonometric functions,Geometry,1
Hyperbola,Focus (geometry),0
Mathematics,Function composition,0
Line (geometry),Triangle,0
Mathematics,Degree (angle),0
Equation,Domain of a function,0
Pythagorean theorem,Pythagorean trigonometric identity,0
Multiplication,Matrix multiplication,0
Rotation of axes,Geometry,1
Curve,Conic section,0
Interval (mathematics),Real line,0
Matrix (mathematics),Main diagonal,0
Angle,Perpendicular,0
Logarithm,Base (exponentiation),1
Mathematics,Parity (mathematics),0
Cross product,Multiplication,1
Real number,Vector (mathematics and physics),0
Trigonometry,Trigonometric substitution,0
Circle,Perpendicular,0
Scientific notation,Integer,0
Scientific notation,Natural logarithm,0
Constant function,Zero of a function,0
Geometric series,Series (mathematics),1
Polar coordinate system,Coordinate system,1
Function composition,Real number,0
Absolute value,Sign (mathematics),1
Summation,Mathematics,1
Position (vector),Real number,0
Binomial,Mathematics,1
Logarithm,Nth root,0
Curve,Secant line,0
Determinant,Vector (mathematics and physics),0
Multiplication,Exponential growth,0
Vertical line test,Mathematics,1
Arithmetic,Descartes' rule of signs,0
Scalar multiplication,Addition,0
Circular motion,Mathematics,1
Number,Homogeneous polynomial,0
Polygon,Line (geometry),1
Line (geometry),Parallel (geometry),0
Plane curve,Curve,1
Mathematics,Right angle,0
Operation (mathematics),Mathematics,1
Coordinate system,Mathematics,1
Constant function,Function (mathematics),1
Arithmetic,Partial fraction decomposition,0
Degree of a polynomial,Addition,1
Zero (complex analysis),Real number,1
Integer,Rational root theorem,0
Geometry,Real line,0
Multiplication,Base (exponentiation),0
Algebraic operation,Number,1
Mathematics,Rotation of axes,0
Right triangle,Mathematics,1
Square (algebra),Algebra,1
Union (set theory),Addition,0
Rational root theorem,Polynomial,1
Exponentiation,Base (exponentiation),0
Algebraic expression,Nth root,0
Constant function,Mathematics,1
Complex plane,Plane (geometry),1
Real number,Distance,0
Square root,Domain of a function,0
Mathematics,Geometry,0
Mathematics,Quadratic equation,0
Open set,Function (mathematics),0
Right triangle,Angle,1
Negative number,Integer,0
Union (set theory),Open set,0
Function (mathematics),Mathematics,1
Algebraic expression,Exponentiation,1
Square root,Natural logarithm,0
Base (exponentiation),Mathematics,1
Curve,Mathematics,1
Floor and ceiling functions,Real number,0
Geometry,Spherical law of cosines,0
Line (geometry),Polygon,0
Range (statistics),Inverse function,0
Matrix multiplication,Number,1
Number,Binomial coefficient,0
Angle,Degree (angle),0
Even and odd functions,Division (mathematics),0
Number,E (mathematical constant),0
Circle,Unit circle,0
Constant function,Degree of a polynomial,0
Linear equation,Linear inequality,0
Rational root theorem,Equality (mathematics),1
Complex number,Equation solving,0
Exponential growth,Arithmetic,1
Product (mathematics),Mathematics,1
Multiplication,Descartes' rule of signs,0
Trigonometry,Sine wave,0
Partial fraction decomposition,Number,1
Number,Negative number,0
Imaginary number,Number,1
Homogeneous polynomial,Multiplication,1
Division (mathematics),Distributive property,0
Synthetic division,Arithmetic,1
Minor (linear algebra),Matrix multiplication,0
Arithmetic,Empty sum,0
Amplitude,Simple harmonic motion,0
Inequality (mathematics),Domain of a function,0
Linear function,Calculus,1
Multiplicative inverse,Division (mathematics),1
Plane (geometry),Orientation (geometry),0
Arithmetic,Addition,0
Natural logarithm,Base (exponentiation),1
Zero of a function,Multiplicative inverse,0
Determinant,Elementary matrix,0
Rational number,Division (mathematics),0
Square root,Mathematics,1
Square matrix,Imaginary number,0
Slope,Mathematics,1
Function (mathematics),Natural logarithm,0
Prime number,Fundamental theorem of algebra,0
Logarithm,Binary logarithm,0
Parity (mathematics),Scientific notation,0
Synthetic division,Polynomial,1
Product (mathematics),Multiplication,1
Point (geometry),Right triangle,0
Arithmetic,Binomial theorem,0
Identity matrix,Square matrix,1
Formula,Mathematics,1
Law of sines,Mathematics,1
Scalar multiplication,Mathematics,1
Angle,Right triangle,0
Exponential function,Degree of a polynomial,0
Complex number,Nth root,0
Negative number,Number,1
Square root,Complex number,0
Function (mathematics),Cubic function,0
Number,Natural number,0
Cartesian coordinate system,Coordinate system,1
Geometry,Rotation (mathematics),0
Scalar multiplication,Matrix (mathematics),0
Complex number,Quadratic equation,0
Graph of a function,Slope,0
Rational function,Polynomial long division,0
Domain of a function,Zero of a function,0
Geometry,Plane curve,0
Scalar multiplication,Vector space,1
Quadratic function,Function (mathematics),1
Law of sines,Trigonometry,1
Transformation (function),Hyperbola,0
Focus (geometry),Conic section,0
Polygon,Triangle,0
Number,Empty set,0
Division by zero,Arithmetic,1
Addition,Scientific notation,0
Number,Floor and ceiling functions,0
Rational number,Binary logarithm,0
Exponential function,Sine,0
Exponentiation,Nth root,0
Partial fraction decomposition,Rational function,0
Floor and ceiling functions,Scientific notation,0
Multiplicative inverse,Arithmetic,1
Mathematics,List of mathematical symbols,0
Function (mathematics),Linear inequality,0
Piecewise,Interval (mathematics),0
Extended real number line,Real number,1
Complex plane,Mathematics,1
Line (geometry),Mathematics,1
Geometry,Vector field,0
Binomial theorem,Binomial,1
Determinant,Square matrix,1
Union (set theory),Closed set,0
Addition,Fundamental theorem of algebra,0
Curve,Geometry,1
Equality (mathematics),Quadratic equation,0
Vertical line test,Graph of a function,1
Coordinate system,Polar coordinate system,0
Line–line intersection,Mathematics,1
Arithmetic,Product topology,0
Inverse trigonometric functions,Trigonometric functions,1
Square root,Degree of a polynomial,0
Cartesian coordinate system,Analytic geometry,0
Equality (mathematics),Equation solving,0
Chord (geometry),Geometry,1
Arithmetic,Multiplication,0
Matrix (mathematics),Elementary matrix,0
Number,Product topology,0
Factorization,Mathematics,1
Inverse trigonometric functions,Multiplicative inverse,0
Binomial coefficient,Integer,1
Square matrix,Matrix (mathematics),1
Algebra,Fundamental theorem of algebra,0
Square matrix,Square (algebra),0
Algebra,Square (algebra),0
Ellipse,Mathematics,1
Linear equation,System of linear equations,0
Line segment,Mathematics,1
Arithmetic,Natural logarithm,0
Complex number,Domain of a function,0
Integer,Division (mathematics),0
Coordinate system,Change of variables,0
Ellipse,Geometry,1
Image (mathematics),Function (mathematics),1
Basis (linear algebra),Number,1
Geometry,Ellipse,0
Polynomial long division,Graph of a function,0
Mathematics,Inequality (mathematics),0
Number,Rotation of axes,0
Sign (mathematics),Algebra,0
Equation,Number,1
Circular motion,Curve,1
Parity (mathematics),Mathematics,1
Rationalisation (mathematics),Complex number,0
Function (mathematics),Multiplicative inverse,0
Determinant,Vector field,0
Number,Equation,0
Line (geometry),Law of sines,0
Mathematics,Secant line,0
Exponentiation,Logarithm,0
Geometry,Asymptote,0
Geometry,Complex plane,0
Symmetry,Mathematics,0
Base (exponentiation),Exponentiation,1
Rectangle,Angle,1
Vector (mathematics and physics),Vector space,0
Maxima and minima,Injective function,0
Function composition,Domain of a function,0
Graph of a function,Mathematics,1
Vertical line test,Domain of a function,0
Circle,Pythagorean theorem,0
Binary logarithm,Multiplication,1
Multiplication,Partial fraction decomposition,0
Fundamental theorem of algebra,Complex number,1
Equation,Simultaneous equations,0
Pythagorean trigonometric identity,Trigonometry,1
Union (set theory),Integer,0
Multiplication,Subtraction,0
Mathematics,Plane curve,0
Analytic geometry,Equation,1
Complex number,Interval (mathematics),0
Slope,Analytic geometry,0
Elementary matrix,Main diagonal,1
Graph of a function,Analytic geometry,0
Number,Descartes' rule of signs,0
Negative number,Real number,0
Addition,Subtraction,0
Exponentiation,Unit circle,0
Law of sines,Polygon,1
Linear function,Linear inequality,0
Line (geometry),Vector field,0
Polynomial long division,Mathematics,1
Floor and ceiling functions,Number,1
Geometry,Coordinate system,0
Unit circle,Geometry,1
Coordinate system,Analytic geometry,0
Addition,Real number,0
Scalar (mathematics),Scalar multiplication,0
Mathematics,Quadratic function,0
Work (physics),Force,1
Mathematics,Extended real number line,0
Multiplication,Distributive property,0
Scalar multiplication,Work (physics),0
Polynomial,Quadratic function,0
Integer,Homogeneous polynomial,0
Area,Cone,0
Dot product,Number,1
Mathematics,Mathematical induction,0
Polygon,Geometry,1
Point (geometry),Triangle,0
Integer,Nth root,0
Quadratic formula,Number,1
Logarithm,Function (mathematics),0
List of mathematical symbols,Mathematics,1
Equality (mathematics),Inequality (mathematics),0
Focus (geometry),Geometry,1
Vertical line test,Line (geometry),1
Line (geometry),Curve,0
Exponentiation,Complex number,0
Sine,Identity (mathematics),0
Quadratic function,Quadratic equation,0
Equality (mathematics),Linear inequality,0
Curve,Circular motion,0
Cone,Line (geometry),1
Vector field,Vector (mathematics and physics),1
Multiplication,Factorization,0
Origin (mathematics),Point (geometry),1
Multiplication,Exponential function,0
Mathematics,Equation,0
Multiplication,Arithmetic,1
Geometry,Right triangle,0
Displacement (vector),Force,0
Curve,Circle,0
Sum,Number,1
Square matrix,Determinant,0
Pythagorean theorem,Analytic geometry,0
Function (mathematics),Graph of a function,0
Domain of a function,Function (mathematics),1
Arithmetic mean,Arithmetic,1
Logarithm,Multiplication,1
Floor and ceiling functions,Mathematics,1
Mathematics,Division (mathematics),0
Zero of a function,Function (mathematics),1
Polynomial,Synthetic division,0
Geometry,Solution of triangles,0
Semi-major axis,Focus (geometry),0
Triangle,Line (geometry),1
Natural logarithm,Number,1
Mathematics,Focus (geometry),0
Inverse trigonometric functions,Domain of a function,0
Exponential function,Number,1
Edge (geometry),Point (geometry),1
Minor (linear algebra),Determinant,1
Complex number,Pythagorean theorem,0
Mathematics,Binomial,0
Line segment,Focus (geometry),0
Cubic function,Mathematics,1
Polynomial,Algebraic expression,0
Natural number,Geometry,0
Exponential function,Slope,0
Piecewise,Maxima and minima,0
Binomial theorem,Number,1
Line (geometry),Slope,0
Number,Division (mathematics),0
Function composition,Natural number,0
Empty set,Set (mathematics),1
Interval (mathematics),Multiplicative inverse,0
Real number,Empty set,0
Line (geometry),System of linear equations,0
Cartesian coordinate system,Plane (geometry),1
Open set,Rational number,0
Arithmetic,Fundamental theorem of algebra,0
Product topology,Multiplication,1
Arithmetic,Scalar multiplication,0
Fundamental theorem of algebra,Polynomial,1
Summation,Addition,1
Geometry,Focus (geometry),0
Cone,Eccentricity (mathematics),0
Vector space,Scalar multiplication,0
Sum,Mathematics,1
Unit circle,Inverse trigonometric functions,0
Mathematics,Algebraic operation,0
Mathematics,Solution of triangles,0
Eccentricity (mathematics),Mathematics,1
System of linear equations,Number,1
Division (mathematics),Binary logarithm,0
Simultaneous equations,Equation,1
Descartes' rule of signs,Mathematics,1
Fundamental theorem of algebra,Multiplication,1
Mathematics,Trigonometry,0
Subtraction,Division (mathematics),0
Algebra,Basis (linear algebra),0
Sine,Real number,0
Multiplication,Product topology,0
Equality (mathematics),Parametric equation,0
Matrix ring,Arithmetic,1
Plane curve,Mathematics,1
Multiplication,Even and odd functions,0
Right triangle,Triangle,1
Circle,Circular sector,0
Perpendicular,Mathematics,1
Open set,Real line,0
Rotation of axes,Coordinate system,1
Rectangle,Geometry,1
Eccentricity (mathematics),Geometry,1
