A,B,Label
Edge (geometry),Angle bisector theorem,0
Polyhedron,Tessellation,0
Pyramid (geometry),Cone,0
Point (geometry),Space (mathematics),0
Pythagorean theorem,Sphere,0
Rotational symmetry,Midpoint,0
Circle,Cartesian coordinate system,0
Pythagorean triple,Line segment,1
Sine,Geometry,1
Tangent,Angle,1
Square,Hexagon,0
Line (geometry),Inverse trigonometric functions,0
Point (geometry),Square,0
Angle,Triangle inequality,0
Line segment,Translation (geometry),0
Vertex (geometry),Right triangle,0
Geometry,Trigonometric functions,0
Reflection (mathematics),Rigid transformation,0
Rectangle,Right angle,1
Triangle inequality,Internal and external angle,0
Angle,Cone,0
Chord (geometry),Point (geometry),1
Reflection (mathematics),Cartesian coordinate system,0
Point (geometry),Line segment,0
Line segment,Trigonometric functions,0
Triangle,Isosceles triangle,0
Pythagorean theorem,Edge (geometry),1
Self-similarity,Symmetry,1
Altitude (triangle),Triangle,1
Tangent,Cross section (geometry),0
Sine,Point (geometry),1
Geometry,Hexagon,0
Square,Circumference,0
Convex polygon,Edge (geometry),1
Kite (geometry),Point (geometry),1
Face (geometry),Polygon,0
Polygon,Symmetry,0
Rhombus,Internal and external angle,0
Right angle,Pythagorean triple,0
Collinearity,Plane (geometry),0
Point (geometry),Exterior angle theorem,0
Perpendicular,Skew lines,0
Reflection (mathematics),Line (geometry),1
Rectangle,Trapezoid,0
Square,Kite (geometry),0
Polygon,Altitude (triangle),0
Internal and external angle,Vertex (geometry),1
Diameter,Arc length,0
Rotational symmetry,Point (geometry),1
Angle,Congruence (geometry),0
Circle,Coordinate system,0
Translation (geometry),Scaling (geometry),0
Vertex (geometry),Quadrilateral,0
Angle,Angle bisector theorem,0
Line (geometry),Cartesian coordinate system,0
Vertex (geometry),Hendecagon,0
Reflection (mathematics),Geometry,1
Right angle,Cartesian coordinate system,0
Cartesian coordinate system,Geometry,1
Line segment,Cone,0
Quadrilateral,Distance,0
Parallelogram,Right triangle,0
Rhombus,Convex polygon,0
Angle bisector theorem,Polygon,1
Isosceles triangle,Acute and obtuse triangles,0
Polygon,Star polygon,0
Rigid transformation,Reflection (mathematics),1
Polyhedron,Pyramid (geometry),0
Bisection,Angle bisector theorem,0
Cylinder (geometry),Circle,1
Transversal (geometry),Perpendicular,0
Polyhedron,Line segment,1
Symmetry,Star polygon,0
Arc length,Arc (geometry),1
Trigonometric functions,Point (geometry),1
Star polygon,Edge (geometry),1
Line segment,Skew lines,0
Diagonal,Isosceles triangle,0
Congruence (geometry),Space (mathematics),0
Line segment,Point (geometry),1
Perpendicular,Line segment,0
Line (geometry),Triangle inequality,0
Chord (geometry),Line (geometry),1
Kite (geometry),Edge (geometry),1
Parallelogram,Tangent,0
Polygon,Cross section (geometry),0
Altitude (triangle),Polygon,1
Line (geometry),Rotational symmetry,0
Similarity (geometry),Rhombus,0
Polygon,Pythagorean triple,0
Edge (geometry),Polygon,0
Diagonal,Square,0
Face (geometry),Tessellation,0
Triangle inequality,Triangle,1
Quadrilateral,Vertex (geometry),1
Prism (geometry),Square,0
Midpoint,Line (geometry),1
Geometry,Plane (geometry),0
Rectangle,Perpendicular,0
Slope,Tangent,0
Congruence (geometry),Rhombus,0
Hendecagon,Geometry,1
Pentagon,Prism (geometry),0
Edge (geometry),Congruence (geometry),0
Tangent,Hexagon,0
Circle,Tangent,0
Triangle,Coordinate system,0
Pythagorean theorem,Congruence (geometry),0
Point (geometry),Cartesian coordinate system,0
Self-similarity,Geometry,1
Right triangle,Right angle,1
Circle,Cylinder (geometry),0
Octagon,Angle,1
Arc (geometry),Geometry,1
Polyhedron,Symmetry,0
Point (geometry),Rotation (mathematics),0
Point (geometry),Trapezoid,0
Geometry,Angle,0
Diameter,Parallelogram,0
Line segment,Geometry,1
Tangent,Line (geometry),1
Pythagorean theorem,Distance,0
Parallelogram,Internal and external angle,0
Internal and external angle,Exterior angle theorem,0
Slope,Secant line,0
Internal and external angle,Line (geometry),1
Circle,Angle bisector theorem,0
Angle,Bisection,0
Vertex (geometry),Face (geometry),0
Slope,Geometry,1
Angle,Cartesian coordinate system,0
Midpoint,Chord (geometry),0
Polygon,Prism (geometry),0
Prism (geometry),Geometry,1
Radius,Angle,0
Triangle inequality,Vertex (geometry),1
Right triangle,Arc length,0
Pentagon,Line (geometry),1
Exterior angle theorem,Internal and external angle,1
Acute and obtuse triangles,Hexagon,0
Triangle,Right triangle,0
Hexagon,Line segment,1
Congruence (geometry),Point (geometry),1
Trigonometric functions,Cartesian coordinate system,0
Right angle,Square,0
Altitude (triangle),Vertex (geometry),1
Similarity (geometry),Altitude (triangle),0
Translation (geometry),Cartesian coordinate system,0
Right triangle,Acute and obtuse triangles,0
Line (geometry),Congruence (geometry),0
Geometry,Cone,0
Altitude (triangle),Isosceles triangle,0
Triangle,Inverse trigonometric functions,0
Rotation (mathematics),Sphere,0
Nonagon,Line (geometry),1
Quadrilateral,Polygon,1
Pythagorean theorem,Sine,0
Edge (geometry),Triangle inequality,0
Equilateral triangle,Line segment,1
Pythagorean theorem,Line (geometry),1
Point (geometry),Reflection (mathematics),0
Circumference,Radius,0
Rotational symmetry,Tessellation,0
Hendecagon,Edge (geometry),1
Perpendicular,Distance,0
Rectangle,Rotational symmetry,0
Polyhedron,Cartesian coordinate system,0
Point (geometry),Dodecagon,0
Line (geometry),Isosceles triangle,0
Triangle,Polygon,1
Triangle inequality,Sphere,0
Diagonal,Convex polygon,0
Space (mathematics),Cartesian coordinate system,0
Line (geometry),Rigid transformation,0
Geometry,Sphere,0
Reflection (mathematics),Angle,1
Point (geometry),Pentagon,0
Point (geometry),Collinearity,0
Line (geometry),Chord (geometry),0
Isosceles triangle,Angle,1
Diameter,Tangent,0
Equilateral triangle,Bisection,0
Edge (geometry),Triangle,0
Right triangle,Line (geometry),1
Parallel (geometry),Transversal (geometry),0
Triangle inequality,Circle,0
Rotational symmetry,Geometry,1
Vertex (geometry),Congruence (geometry),0
Angle,Decagon,0
Circumference,Arc length,0
Prism (geometry),Edge (geometry),1
Square,Parallelogram,1
Internal and external angle,Point (geometry),1
Line (geometry),Heptagon,0
Vertex (geometry),Skew lines,0
Two-dimensional space,Octagon,0
Reflection symmetry,Angle,1
Plane (geometry),Transversal (geometry),0
Right angle,Special right triangles,0
Geometry,Diagonal,0
Rhombus,Circumference,0
Parallelogram,Slope,0
Symmetry,Similarity (geometry),0
Angle,Triangle,0
Angle,Trapezoid,0
Equilateral triangle,Altitude (triangle),0
Pythagorean theorem,Polygon,1
Parallelogram,Kite (geometry),0
Geometry,Pythagorean triple,0
Trigonometric functions,Vertex (geometry),1
Midpoint,Diagonal,0
Line segment,Edge (geometry),0
Rectangle,Two-dimensional space,0
Parallel (geometry),Parallelogram,0
Angle,Geometry,1
Vertex (geometry),Triangle,0
Arc (geometry),Tangent,0
Slope,Distance,0
Geometry,Polygon,0
Point (geometry),Parallel (geometry),0
Distance,Altitude (triangle),0
Polyhedron,Trapezoid,0
Quadrilateral,Angle,1
Hexagon,Edge (geometry),1
Rectangle,Line segment,1
Circumference,Sphere,0
Similarity (geometry),Sine,0
Circumference,Rhombus,0
Geometry,Secant line,0
Angle,Rectangle,0
Arc length,Geometry,1
Line segment,Angle bisector theorem,0
Angle,Skew lines,0
Bisection,Acute and obtuse triangles,0
Prism (geometry),Perpendicular,0
Congruence (geometry),Similarity (geometry),0
Line (geometry),Pentagon,0
Right triangle,Vertex (geometry),1
Exterior angle theorem,Vertex (geometry),1
Congruence (geometry),Translation (geometry),0
Star polygon,Geometry,1
Perpendicular,Altitude (triangle),0
Angle,Tessellation,0
Vertex (geometry),Pentagon,0
Triangle,Angle,1
Circle,Circumference,0
Parallel (geometry),Plane (geometry),0
Bisection,Rhombus,0
Convex polygon,Rhombus,0
Angle,Heptagon,0
Line (geometry),Exterior angle theorem,0
Tangent,Cone,0
Radius,Point (geometry),1
Square,Point (geometry),1
Diagonal,Geometry,1
Rotation (mathematics),Reflection symmetry,0
Pentagon,Circle,0
Rotation (mathematics),Line (geometry),1
Isosceles triangle,Polygon,1
Tangent,Acute and obtuse triangles,0
Line (geometry),Reflection (mathematics),0
Collinearity,Geometry,1
Geometry,Cartesian coordinate system,0
Similarity (geometry),Equilateral triangle,0
Triangle,Distance,0
Star polygon,Octagon,0
Polygon,Dodecagon,0
Concentric,Circle,0
Equilateral triangle,Triangle,1
Polygon,Vertex (geometry),1
Rhombus,Midpoint,0
Polygon,Internal and external angle,0
Sine,Polygon,1
Triangle,Sine,0
Angle,Exterior angle theorem,0
Nonagon,Geometry,1
Cylinder (geometry),Diameter,0
Internal and external angle,Star polygon,0
Dodecagon,Vertex (geometry),1
Perpendicular,Cross section (geometry),0
Pentagon,Internal and external angle,0
Skew lines,Point (geometry),1
Pythagorean theorem,Acute and obtuse triangles,0
Altitude (triangle),Circle,0
Symmetry,Scaling (geometry),0
Slope,Point (geometry),1
Plane (geometry),Sphere,0
Inverse trigonometric functions,Edge (geometry),1
Rotation (mathematics),Plane (geometry),0
Right triangle,Line segment,1
Polyhedron,Face (geometry),1
Line segment,Isosceles triangle,0
Geometry,Line segment,0
Parallelogram,Line (geometry),1
Radius,Cone,0
Star polygon,Decagon,0
Arc length,Radius,0
Pentagon,Geometry,1
Exterior angle theorem,Circle,0
Point (geometry),Rhombus,0
Circumference,Geometry,1
Angle,Altitude (triangle),0
Rigid transformation,Translation (geometry),1
Point (geometry),Altitude (triangle),0
Point (geometry),Plane (geometry),0
Star polygon,Tessellation,0
Angle,Hexagon,0
Geometry,Parallel (geometry),0
Tessellation,Sphere,0
Edge (geometry),Tessellation,0
Isosceles triangle,Rhombus,0
Perpendicular,Kite (geometry),0
Trigonometric functions,Geometry,1
Symmetry,Reflection symmetry,0
Similarity (geometry),Distance,0
Pythagorean theorem,Angle,1
Line (geometry),Triangle,0
Reflection symmetry,Distance,0
Diagonal,Polygon,1
Rectangle,Similarity (geometry),0
Line segment,Special right triangles,0
Geometry,Translation (geometry),0
Angle,Octagon,0
Square,Two-dimensional space,0
Circle,Perpendicular,0
Triangle,Diameter,0
Symmetry,Self-similarity,0
Quadrilateral,Line segment,1
Line (geometry),Rotation (mathematics),0
Triangle,Congruence (geometry),0
Equilateral triangle,Pythagorean theorem,0
Midpoint,Bisection,0
Triangle,Angle bisector theorem,0
Point (geometry),Skew lines,0
Prism (geometry),Rectangle,0
Translation (geometry),Symmetry,1
Polygon,Line (geometry),1
Line (geometry),Parallel (geometry),0
Internal and external angle,Angle,1
Special right triangles,Point (geometry),1
Dodecagon,Two-dimensional space,0
Pyramid (geometry),Isosceles triangle,0
Pentagon,Line segment,1
Altitude (triangle),Acute and obtuse triangles,0
Parallelogram,Polygon,1
Pentagon,Quadrilateral,0
Congruence (geometry),Face (geometry),0
Kite (geometry),Polygon,1
Triangle,Tangent,0
Line segment,Decagon,0
Coordinate system,Sine,0
Angle,Prism (geometry),0
Reflection symmetry,Circle,0
Arc (geometry),Arc length,0
Perpendicular,Pyramid (geometry),0
Tangent,Line segment,1
Arc (geometry),Circle,1
Right triangle,Angle,1
Transversal (geometry),Point (geometry),1
Line segment,Tangent,0
Pyramid (geometry),Rhombus,0
Prism (geometry),Angle,1
Rectangle,Parallel (geometry),1
Line (geometry),Polygon,0
Quadrilateral,Geometry,1
Quadrilateral,Point (geometry),1
Line (geometry),Pythagorean theorem,0
Plane (geometry),Line (geometry),0
Grade (slope),Line (geometry),1
Rotational symmetry,Symmetry,1
Edge (geometry),Exterior angle theorem,0
Line (geometry),Dodecagon,0
Point (geometry),Edge (geometry),0
Pythagorean theorem,Right angle,1
Octagon,Geometry,1
Equilateral triangle,Tessellation,0
Square,Bisection,0
Coordinate system,Two-dimensional space,1
Equilateral triangle,Pyramid (geometry),0
Rectangle,Circle,0
Plane (geometry),Cross section (geometry),0
Square,Vertex (geometry),1
Triangle,Bisection,0
Triangle,Cartesian coordinate system,0
Line (geometry),Altitude (triangle),0
Polygon,Pythagorean theorem,0
Line segment,Diameter,0
Altitude (triangle),Trigonometric functions,0
Parallelogram,Diagonal,0
Point (geometry),Right triangle,0
Dodecagon,Edge (geometry),1
Angle,Right triangle,0
Pentagon,Hexagon,0
Face (geometry),Line segment,0
Parallel (geometry),Congruence (geometry),0
Polygon,Diagonal,0
Inverse trigonometric functions,Right triangle,0
Midpoint,Triangle,0
Sine,Angle,1
Tangent,Geometry,1
Geometry,Pyramid (geometry),0
Cartesian coordinate system,Coordinate system,1
Geometry,Rotation (mathematics),0
Face (geometry),Prism (geometry),0
Geometry,Face (geometry),0
Prism (geometry),Vertex (geometry),1
Congruence (geometry),Angle,1
Parallelogram,Edge (geometry),1
Line (geometry),Nonagon,0
Polygon,Triangle,0
Convex polygon,Diameter,0
Trigonometric functions,Polygon,1
Square,Tessellation,0
Pentagon,Special right triangles,0
Pentagon,Two-dimensional space,0
Heptagon,Vertex (geometry),1
Rotational symmetry,Angle,1
Pyramid (geometry),Line segment,1
Similarity (geometry),Trapezoid,0
Reflection (mathematics),Two-dimensional space,0
Right angle,Pythagorean theorem,0
Line (geometry),Edge (geometry),0
Circle,Rotational symmetry,0
Quadrilateral,Circle,0
Cylinder (geometry),Distance,0
Line segment,Nonagon,0
Line (geometry),Sine,0
Geometry,Grade (slope),0
Congruence (geometry),Circle,0
Inverse trigonometric functions,Trigonometric functions,1
Trigonometric functions,Edge (geometry),1
Point (geometry),Slope,0
Circle,Arc (geometry),0
Internal and external angle,Transversal (geometry),0
Chord (geometry),Geometry,1
Angle bisector theorem,Altitude (triangle),0
Vertex (geometry),Kite (geometry),0
Circle,Pythagorean theorem,0
Coordinate system,Point (geometry),1
Line segment,Hendecagon,0
Decagon,Geometry,1
Geometry,Diameter,0
Polygon,Equilateral triangle,0
Edge (geometry),Line segment,1
Point (geometry),Triangle inequality,0
Rigid transformation,Rotation (mathematics),1
Square,Quadrilateral,1
Triangle inequality,Cone,0
Trapezoid,Angle,1
Geometry,Angle bisector theorem,0
Edge (geometry),Polyhedron,0
Heptagon,Angle,1
Rectangle,Parallelogram,1
Similarity (geometry),Scale factor,0
Radius,Circle,1
Rigid transformation,Geometry,1
Quadrilateral,Diagonal,0
Slope,Grade (slope),0
Cone,Polygon,0
Coordinate system,Sphere,0
Rectangle,Angle,1
Pythagorean theorem,Convex polygon,0
Pythagorean theorem,Triangle,1
Sphere,Geometry,1
Geometry,Vertex (geometry),0
Angle,Nonagon,0
Edge (geometry),Quadrilateral,0
Angle,Dodecagon,0
Collinearity,Hexagon,0
Geometry,Acute and obtuse triangles,0
Rhombus,Parallel (geometry),1
Geometry,Transversal (geometry),0
Pythagorean triple,Triangle,1
Geometry,Arc length,0
Polygon,Sphere,0
Hendecagon,Angle,1
Equilateral triangle,Right triangle,0
Secant line,Point (geometry),1
Line segment,Angle,0
Prism (geometry),Cross section (geometry),0
Geometry,Coordinate system,0
Polygon,Rotational symmetry,0
Triangle,Rectangle,0
Transversal (geometry),Angle,1
Inverse trigonometric functions,Line (geometry),1
Bisection,Collinearity,0
Prism (geometry),Point (geometry),1
Parallelogram,Distance,0
Circumference,Trapezoid,0
Arc (geometry),Angle,0
Symmetry,Altitude (triangle),0
Line (geometry),Grade (slope),0
Right triangle,Distance,0
Altitude (triangle),Right triangle,0
Bisection,Internal and external angle,0
Quadrilateral,Tangent,0
Polygon,Geometry,1
Circumference,Circle,1
Rectangle,Midpoint,0
Isosceles triangle,Kite (geometry),0
Point (geometry),Triangle,0
Inverse trigonometric functions,Polygon,1
Face (geometry),Polyhedron,0
Polygon,Heptagon,0
Bisection,Convex polygon,0
Star polygon,Hexagon,0
Congruence (geometry),Sine,0
Geometry,Cross section (geometry),0
Right triangle,Kite (geometry),0
Diagonal,Vertex (geometry),1
Geometry,Right triangle,0
Midpoint,Polygon,0
Diagonal,Line segment,1
Rectangle,Tessellation,0
Trigonometric functions,Triangle,1
Edge (geometry),Dodecagon,0
Diameter,Midpoint,0
Triangle,Line (geometry),1
Triangle,Exterior angle theorem,0
Sine,Triangle,1
Point (geometry),Internal and external angle,0
Perpendicular,Bisection,0
Trigonometric functions,Radius,0
Prism (geometry),Cylinder (geometry),0
Line (geometry),Point (geometry),1
Quadrilateral,Trapezoid,0
Rotational symmetry,Rotation (mathematics),1
Convex polygon,Vertex (geometry),1
Reflection (mathematics),Perpendicular,0
Point (geometry),Perpendicular,0
Vertex (geometry),Acute and obtuse triangles,0
Cylinder (geometry),Sphere,0
Acute and obtuse triangles,Angle,1
Geometry,Altitude (triangle),0
Edge (geometry),Geometry,1
Point (geometry),Heptagon,0
Vertex (geometry),Dodecagon,0
Line (geometry),Slope,0
Trapezoid,Point (geometry),1
Pentagon,Star polygon,0
Parallelogram,Geometry,1
Angle bisector theorem,Angle,1
Kite (geometry),Geometry,1
Polygon,Decagon,0
Scaling (geometry),Similarity (geometry),0
Triangle,Midpoint,0
Cartesian coordinate system,Plane (geometry),1
Quadrilateral,Bisection,0
Angle,Grade (slope),0
Point (geometry),Grade (slope),0
Right triangle,Square,0
Circle,Arc length,0
Skew lines,Plane (geometry),1
Triangle inequality,Polygon,1
Hexagon,Polygon,1
Prism (geometry),Face (geometry),1
Line (geometry),Transversal (geometry),0
Point (geometry),Pythagorean theorem,0
Edge (geometry),Pyramid (geometry),0
Line segment,Star polygon,0
Symmetry,Rotation (mathematics),0
Angle,Rhombus,0
Cylinder (geometry),Cone,0
Pythagorean triple,Edge (geometry),1
Geometry,Internal and external angle,0
Midpoint,Geometry,1
Convex polygon,Tessellation,0
Midpoint,Vertex (geometry),0
Bisection,Circle,0
Geometry,Circumference,0
Rectangle,Geometry,1
Polygon,Special right triangles,0
Two-dimensional space,Hexagon,0
Angle,Diameter,0
Geometry,Collinearity,0
Diagonal,Line (geometry),1
Acute and obtuse triangles,Equilateral triangle,0
Midpoint,Distance,0
Line (geometry),Perpendicular,0
Geometry,Reflection symmetry,0
Point (geometry),Right angle,0
Perpendicular,Diagonal,0
Midpoint,Circle,0
Tessellation,Symmetry,0
Tangent,Grade (slope),0
Parallelogram,Triangle,0
Line (geometry),Hendecagon,0
Face (geometry),Geometry,1
Rotation (mathematics),Translation (geometry),0
Special right triangles,Edge (geometry),1
Convex polygon,Isosceles triangle,0
Octagon,Vertex (geometry),1
Line segment,Chord (geometry),0
Triangle,Vertex (geometry),1
Equilateral triangle,Reflection symmetry,0
Equilateral triangle,Hexagon,0
Geometry,Nonagon,0
Special right triangles,Angle,1
Triangle,Quadrilateral,0
Parallel (geometry),Sphere,0
Polygon,Trigonometric functions,0
Line segment,Sine,0
Angle,Kite (geometry),0
Arc length,Angle,0
Two-dimensional space,Cartesian coordinate system,0
Perpendicular,Acute and obtuse triangles,0
Altitude (triangle),Line segment,1
Rectangle,Convex polygon,0
Edge (geometry),Prism (geometry),0
Equilateral triangle,Edge (geometry),1
Vertex (geometry),Octagon,0
Slope,Sine,0
Square,Distance,0
Distance,Parallel (geometry),0
Reflection (mathematics),Distance,0
Pythagorean triple,Point (geometry),1
Polygon,Triangle inequality,0
Collinearity,Circle,0
Special right triangles,Polygon,1
Rhombus,Point (geometry),1
Cylinder (geometry),Cross section (geometry),0
Geometry,Polyhedron,0
Hendecagon,Point (geometry),1
Nonagon,Edge (geometry),1
Convex polygon,Line segment,1
Grade (slope),Slope,1
Rotation (mathematics),Circle,0
Diagonal,Rectangle,0
Quadrilateral,Kite (geometry),0
Altitude (triangle),Perpendicular,1
Circumference,Pythagorean theorem,0
Geometry,Chord (geometry),0
Octagon,Rotational symmetry,0
Geometry,Convex polygon,0
Scale factor,Distance,0
Internal and external angle,Convex polygon,0
Chord (geometry),Line segment,1
Altitude (triangle),Angle,1
Chord (geometry),Circle,1
Symmetry,Reflection (mathematics),0
Skew lines,Geometry,1
Diameter,Circle,1
Right triangle,Pythagorean theorem,0
Symmetry,Bisection,0
Tessellation,Geometry,1
Line (geometry),Star polygon,0
Right triangle,Rectangle,0
Geometry,Heptagon,0
Angle,Pyramid (geometry),0
Heptagon,Line (geometry),1
Midpoint,Acute and obtuse triangles,0
Arc (geometry),Bisection,0
Slope,Angle,0
Cone,Circle,1
Kite (geometry),Line segment,1
Rectangle,Reflection symmetry,0
Angle bisector theorem,Vertex (geometry),1
Chord (geometry),Arc length,0
Parallel (geometry),Rectangle,0
Dodecagon,Star polygon,0
Octagon,Polygon,1
Perpendicular,Plane (geometry),0
Special right triangles,Midpoint,0
Midpoint,Convex polygon,0
Line segment,Parallelogram,0
Polygon,Angle bisector theorem,0
Midpoint,Perpendicular,0
Reflection (mathematics),Rotation (mathematics),1
Isosceles triangle,Point (geometry),1
Geometry,Exterior angle theorem,0
Triangle,Special right triangles,0
Exterior angle theorem,Polygon,1
Bisection,Kite (geometry),0
Line (geometry),Acute and obtuse triangles,0
Perpendicular,Right triangle,0
Diagonal,Rhombus,0
Line segment,Square,0
Point (geometry),Prism (geometry),0
Pythagorean theorem,Geometry,1
Isosceles triangle,Line (geometry),1
Vertex (geometry),Sphere,0
Parallelogram,Point (geometry),1
Arc length,Polygon,0
Trapezoid,Triangle,0
Sine,Vertex (geometry),1
Polygon,Congruence (geometry),0
Line segment,Diagonal,0
Pyramid (geometry),Point (geometry),1
Edge (geometry),Parallelogram,0
Angle,Pentagon,0
Pyramid (geometry),Polygon,1
Midpoint,Symmetry,0
Line segment,Acute and obtuse triangles,0
Point (geometry),Trigonometric functions,0
Perpendicular,Point (geometry),1
Right triangle,Bisection,0
Perpendicular,Geometry,1
Reflection (mathematics),Reflection symmetry,0
Special right triangles,Trigonometric functions,0
Radius,Perpendicular,0
Rhombus,Polyhedron,0
Angle bisector theorem,Bisection,1
Line segment,Triangle inequality,0
Polyhedron,Star polygon,0
Parallelogram,Square,0
Altitude (triangle),Edge (geometry),1
Right triangle,Edge (geometry),1
Geometry,Distance,0
Cylinder (geometry),Geometry,1
Line segment,Midpoint,0
Acute and obtuse triangles,Line (geometry),1
Triangle,Rhombus,0
Line segment,Arc length,0
Triangle,Internal and external angle,0
Angle bisector theorem,Internal and external angle,0
Star polygon,Polygon,1
Decagon,Vertex (geometry),1
Two-dimensional space,Equilateral triangle,0
Internal and external angle,Geometry,1
Inverse trigonometric functions,Sine,1
Inverse trigonometric functions,Vertex (geometry),1
Square,Convex polygon,0
Exterior angle theorem,Line (geometry),1
Right triangle,Special right triangles,0
Transversal (geometry),Geometry,1
Kite (geometry),Rectangle,0
Trapezoid,Diagonal,0
Equilateral triangle,Point (geometry),1
Polygon,Tangent,0
Vertex (geometry),Tangent,0
Triangle,Line segment,1
Parallelogram,Midpoint,0
Symmetry,Circle,0
Coordinate system,Radius,0
Vertex (geometry),Rhombus,0
Translation (geometry),Geometry,1
Arc length,Sphere,0
Convex polygon,Line (geometry),1
Inverse trigonometric functions,Circle,0
Vertex (geometry),Convex polygon,0
Polygon,Sine,0
Line segment,Circle,0
Geometry,Skew lines,0
Hexagon,Line (geometry),1
Collinearity,Line (geometry),1
Nonagon,Polygon,1
Bisection,Geometry,1
Polyhedron,Sphere,0
Angle,Parallelogram,0
Pyramid (geometry),Vertex (geometry),1
Triangle inequality,Point (geometry),1
Rhombus,Angle,1
Hexagon,Point (geometry),1
Rotational symmetry,Distance,0
Edge (geometry),Equilateral triangle,0
Special right triangles,Geometry,1
Slope,Trigonometric functions,0
Trigonometric functions,Secant line,0
Vertex (geometry),Polyhedron,0
Altitude (triangle),Distance,1
Geometry,Isosceles triangle,0
Square,Rhombus,0
Parallelogram,Quadrilateral,1
Tangent,Vertex (geometry),1
Edge (geometry),Pentagon,0
Triangle,Parallelogram,0
Reflection symmetry,Rotation (mathematics),1
Angle,Rotational symmetry,0
Diameter,Circumference,0
Angle,Point (geometry),1
Square,Rotational symmetry,0
Sine,Inverse trigonometric functions,0
Diameter,Pythagorean theorem,0
Line (geometry),Bisection,0
Polygon,Acute and obtuse triangles,0
Parallelogram,Vertex (geometry),1
Polygon,Edge (geometry),1
Parallel (geometry),Prism (geometry),0
Bisection,Angle,1
Similarity (geometry),Geometry,1
Edge (geometry),Nonagon,0
